video_id,comment,published_at
s5EWBF27ylU,Berani g mati untuk rakyat kaya kg Dedy Mulyadi,2025-09-09T01:52:57Z
s5EWBF27ylU,Pokonya semoga bisa bayar utang   Negara 🙏🙏🙏🙏,2025-09-09T01:52:26Z
s5EWBF27ylU,Semoga pak Mentri amanah 🎉,2025-09-09T01:51:42Z
s5EWBF27ylU,nice,2025-09-09T01:44:53Z
s5EWBF27ylU,jangan juga trus ngutang,2025-09-09T01:42:45Z
vqt0hyuZKYQ,Apa apa lagi ini,2025-09-09T01:44:43Z
vqt0hyuZKYQ,😮,2025-09-09T01:07:20Z
9e5M1bDvhTA,"TNI GINI?? MENURUT KU INI SANGAT MEMALUKAN DAN MENGECEWAKAN JENDRAL!!! INI NEGARA DEMOKRASI, JANGAN JADI KAYAK NEGARA OTORITER YG TIDAK MENERIMA KRITIKAN. 😩",2025-09-09T01:50:18Z
9e5M1bDvhTA,Kalau saya malu pak buat statement yang saudara FI tidak bisa dihubungi. Sementara para wartawan bisa ngeDM bang FI. Jangan mempermalukan diri sendiri lah pak. 😂😂😂😂😂,2025-09-09T01:49:32Z
9e5M1bDvhTA,Kalian aparat tugas kalian melindungi.jangan sampai intitusi anda kaya parcok bisanya bikin resah rakyat,2025-09-09T01:47:01Z
9e5M1bDvhTA,"Negara hukum pala loe peyang Fer, ini negara Junta Militer. Siapa yg pegang pistol, dia yg berkuasa!",2025-09-09T01:45:24Z
9e5M1bDvhTA,Cengeng,2025-09-09T01:44:29Z
9e5M1bDvhTA,RAKYAT TURUN BERSAMA FERRY IRWANDI,2025-09-09T01:43:44Z
9e5M1bDvhTA,Kasus di ungkang bang Fery berarti real dong😂😂😂😂,2025-09-09T01:42:11Z
9e5M1bDvhTA,Muka arogansi sang jenderal dan kroninya,2025-09-09T01:36:28Z
9e5M1bDvhTA,Tanggapan Konoha konyol 😮,2025-09-09T01:34:25Z
9e5M1bDvhTA,Pokoknya sampe fery ditangkep gw demo sendiri. G ada yg ikut bodo amat.,2025-09-09T01:31:05Z
9e5M1bDvhTA,ayoooo tetap teriakkkkk bravo TNI🤭,2025-09-09T01:30:35Z
9e5M1bDvhTA,apa jadinya jika semua aktivis dibungkam?,2025-09-09T01:30:34Z
9e5M1bDvhTA,"Ga polisi, ga tni sama saja
Bobrok",2025-09-09T01:30:28Z
9e5M1bDvhTA,"kalo pernyataan jendral di depan wartawan ini sebagai intervensi atau intimidasi ke ferry irwandi yang dipaksakan maka menurut saya ini adalalah kebodohan oknum yang mengincar ferry irwandi karena jika terjadi apa""  pada ferry maka sangat mudah bagi masarakat untuk tahu siapa pelakunya.",2025-09-09T01:29:54Z
9e5M1bDvhTA,Jangan cuma brani di media,2025-09-09T01:27:23Z
9e5M1bDvhTA,"Semalah saya nonton berita ini 
Sehabis melihat acara di TEMPO
Putar balik , misteri lain pembunuhan munir, 
Dan ada wartawa senipr menyebutkan negara negara yang sama seperti yang di swbutkan fery  irwandi",2025-09-09T01:26:33Z
9e5M1bDvhTA,"Merasa lebih pintar dan lebih tau
Atau memeng pintar dan sudah tau
Jgn mencari sensasi di atas masalah negeri ini..kl memeng pintar dan sudah tau langsung buka semua nya,kan dia siap untuk segala resikonya",2025-09-09T01:25:55Z
9e5M1bDvhTA,mending maen fifa wkwkwk,2025-09-09T01:24:19Z
9e5M1bDvhTA,Mas fery👍👍👍❤️❤️❤️,2025-09-09T01:23:52Z
9e5M1bDvhTA,"Begini yah cara bicara mereka? Gak mikir2 dulu, kyk gk ada pertanggung jawaban. Mirip 3 juta x 26 hari kerja.",2025-09-09T01:21:51Z
